"",BBNZ1.Q.DE.N.G.0000.A,BBNZ1.Q.DE.N.G.0000.A_FLAGS
"",Germany / National accounts / Overall economy / GDP / At current prices,
Decimals,3,
Time format code,P3M,
unit,Euro,
unit multiplier,Billions,
last update,2022-11-25 08:04:58,
1991-Q1,374.850,
1991-Q2,390.210,
1991-Q3,398.080,
1991-Q4,422.660,
1992-Q1,409.090,
1992-Q2,416.460,
1992-Q3,428.340,
1992-Q4,448.170,
1993-Q1,417.410,
1993-Q2,431.550,
1993-Q3,441.620,
1993-Q4,460.310,
1994-Q1,439.010,
1994-Q2,447.940,
1994-Q3,460.920,
1994-Q4,481.680,
1995-Q1,456.280,
1995-Q2,466.450,
1995-Q3,477.490,
1995-Q4,494.390,
1996-Q1,462.040,
1996-Q2,471.900,
1996-Q3,485.810,
1996-Q4,501.630,
1997-Q1,465.010,
1997-Q2,485.600,
1997-Q3,497.640,
1997-Q4,512.900,
1998-Q1,486.830,
1998-Q2,493.580,
1998-Q3,509.740,
1998-Q4,524.270,
1999-Q1,495.440,
1999-Q2,504.250,
1999-Q3,520.870,
1999-Q4,538.920,
2000-Q1,514.610,
2000-Q2,519.390,
2000-Q3,532.100,
2000-Q4,542.990,
2001-Q1,530.250,
2001-Q2,532.360,
2001-Q3,547.220,
2001-Q4,562.710,
2002-Q1,531.010,
2002-Q2,539.780,
2002-Q3,560.270,
2002-Q4,567.060,
2003-Q1,535.480,
2003-Q2,541.560,
2003-Q3,562.930,
2003-Q4,571.600,
2004-Q1,550.180,
2004-Q2,560.160,
2004-Q3,570.660,
2004-Q4,581.520,
2005-Q1,550.540,
2005-Q2,568.040,
2005-Q3,578.390,
2005-Q4,591.340,
2006-Q1,574.770,
2006-Q2,586.070,
2006-Q3,600.940,
2006-Q4,623.300,
2007-Q1,607.990,
2007-Q2,614.050,
2007-Q3,630.140,
2007-Q4,647.370,
2008-Q1,626.240,
2008-Q2,637.830,
2008-Q3,641.490,
2008-Q4,640.930,
2009-Q1,594.030,
2009-Q2,597.350,
2009-Q3,618.740,
2009-Q4,635.610,
2010-Q1,616.590,
2010-Q2,627.500,
2010-Q3,651.380,
2010-Q4,668.930,
2011-Q1,659.010,
2011-Q2,660.420,
2011-Q3,682.290,
2011-Q4,691.840,
2012-Q1,678.510,
2012-Q2,672.110,
2012-Q3,692.940,
2012-Q4,701.750,
2013-Q1,682.360,
2013-Q2,692.930,
2013-Q3,714.670,
2013-Q4,721.390,
2014-Q1,716.700,
2014-Q2,717.360,
2014-Q3,740.720,
2014-Q4,752.650,
2015-Q1,737.210,
2015-Q2,741.980,
2015-Q3,765.670,
2015-Q4,781.320,
2016-Q1,762.950,
2016-Q2,779.080,
2016-Q3,788.980,
2016-Q4,803.730,
2017-Q1,798.840,
2017-Q2,801.190,
2017-Q3,823.940,
2017-Q4,843.190,
2018-Q1,823.520,
2018-Q2,833.550,
2018-Q3,842.260,
2018-Q4,866.120,
2019-Q1,851.580,
2019-Q2,852.840,
2019-Q3,877.650,
2019-Q4,891.190,
2020-Q1,866.910,
2020-Q2,787.350,
2020-Q3,861.590,
2020-Q4,889.580,
2021-Q1,862.030,
2021-Q2,878.060,
2021-Q3,915.990,
2021-Q4,945.670,
2022-Q1,936.190,
2022-Q2,945.730,
2022-Q3,969.220,
